Date,PCR,IV_C,STD_C,IV_P,STD_P
2021-07-09,0.571812268,0.104570893,0.033758961,0.179249651,0.078980151
2021-07-12,1.254448537,0.09824321,0.029092421,0.131621037,0.087216728
2021-07-13,1.356891801,0.094163359,0.038744256,0.101983004,0.087166893
2021-07-14,1.196410974,0.067399436,0.055871323,0.106082953,0.11543492
2021-07-15,1.249543375,0.120614189,0.042998587,0.245047995,0.109112016
2021-07-16,0.829259526,0.143046804,0.060515161,0.210687358,0.106991992
2021-07-19,0.576840395,0.207063939,0.112936125,0.309710578,0.167615994
2021-07-20,0.579552505,0.325162477,0.142191515,0.297345532,0.188126803
2021-07-21,0.814578986,0.324129981,0.230751822,0.383169836,0.441317084
2021-07-22,1.746492089,0.0768636,0.042090388,0.112019661,0.047382753
2021-07-23,1.394195679,0.061542888,0.026138885,0.106349809,0.07043689
2021-07-26,0.752855085,0.069249101,0.041433862,0.082920229,0.088438892
2021-07-27,0.864280363,0.056109444,0.021977652,0.063146961,0.068179805
2021-07-28,1.25619015,0.047514782,0.044545114,0.072920806,0.069603068
