TrmTerm(法律名詞),TrmContent(解釋),JtIds(M：刑事、F：家事、G：一般、V：民事、A：行政)
自動收費設備詐欺罪,依刑法第339條之1規定，以不正方法由收費設備取得他人之物者，因收費設備僅重視使用者是否提出正確給付，例如：對自動販賣機只要投入的金錢為真正，不論行為人取得之管道為何，不構成本罪；但如投入偽幣、遊戲代幣，使機器無法辨識而提供商品，即構成本罪。,M             
拋棄繼承表,如果是詢問「拋棄繼承」的意思，請參考「拋棄繼承」的解釋。如果是指向法院聲明拋棄繼承時，要提出的「繼承系統表」，是指往生者有那些繼承人及他們和往生者關係的表，寫法可到「司法院全球資訊網/書狀範例/少年及家事/編號54」查詢。,F             
轉型正義,"轉型正義條例雖未明確定義「轉型正義」，惟該條例第1條第2項前段規定：「威權統治時期違反自由民主憲政秩序之不法行為與結果，其轉型正義相關處理事宜，依本條例規劃、推動之。」在該條例使用的「轉型正義」概念，是指一個社會經歷威權統治並已民主化後，針對該期間違反自由民主憲政秩序之相關不法行為、結果所從事的善後工作，藉以落實正義、達成和解。相關工作，包括：（一）開放政治檔案；（二）清除威權象徵、保存不義遺址；（三）平復司法不法、還原歷史真相，並促進社會和解；（四）不當黨產之處理及運用等（促進轉型正義條例第4條第2項參照）。藉由這些善後工作，完整回復威權統治時期相關歷史事實並促進社會和解，還原人權受迫害之歷程，並釐清壓迫體制加害者及參與者責任，並針對違法取得之財產予以調查、返還、追徵，並為必要之權利回復。這些措施的目的在於使因威權統治期間不法行為而受害的人民及其親族所承受的苦難為社會所知，為其等平反，並揭露原被隱藏的不公義，以積極的作為與態度轉變威權統治期間不義行為的負面影響，重新使分裂社會得以團結與和解。
轉型正義並非是轉型正義條例創造之法律概念，而是許多經歷分裂的國家、社會為重新團結與和解的一種基本哲學。雖然，本於同一基本哲學下，可能仍存有不同的落實的具體作法或分歧見解，但歷經種族分裂後而新創的南非憲法結語，正體現了重新使國家團結與和解的轉型正義基本哲學中，具代表性的一個成功例證：「本憲法旨在提供一座具歷史意義的橋樑，以連結這個國家的過去與未來，前者是一個充滿了摩擦、衝突、被掩蓋的痛苦與不公不義的分裂社會，而後者將以對人權、民主，以及所有南非人，不分膚色、種族、階級、信仰、性別的共有共榮的承諾為前提。欲達國家團結，所有南非人的富裕以及和平，需要所有南非人民的和解和社會的重建。本憲法的公布施行，提供南非人民安全的保障，以免於過去的分裂與摩擦，以及其造成的嚴重人權侵害案件、對人道原則的暴力破壞，以及充滿仇恨、恐懼、罪惡與復仇的惡習。這些問題現在都可以根據以下共識來解決：我們需要瞭解而非復仇，需要修復而非報復，需要和解共生，而非尋找代罪羔羊。為促進和解與重建，我們需要提供赦免給過去因為政治目的或在矛盾與撕裂當中犯下的行為、疏忽或侵害。為達此目的，依本憲法成立之國會應制定法律，限定明確日期，亦即一九九０年十月八日和一九九三年十二月六日之間，並建立相關的機制、標準、程序，以及若是需要的話，法庭的建置，以利該法通過後赦免案的處理。藉由這部憲法和這些承諾，我們南非人民為這個國家的歷史開啟了新的一頁。」
",G             
土地分割,將數人共有之土地，透過共有人間的協議或法院的確定判決變更其共有型態（例如：將一筆共有土地分割為數筆，分配給各共有人單獨所有，或將一筆共有土地分割為數筆，由部分共有人單獨所有或維持共有，其餘共有人受金錢補償）的方法。,V             
矧以,況且,V             
法律感情,指一般人民對法律規定及適用結果合理性之認知，雖常未形諸明文，惟實務上不乏其實質影響力或拘束力，如刑事被告如何量刑及是否宣告緩刑，法官裁量權之行使並非得任意或自由為之，仍須符合所適用法律授權之目的，並受法律秩序之理念、法律感情及慣例等所規範。,M             
言詞辯論,刑事訴訟上，法院於調查證據完畢後，所進行的當事人間就事實上、法律上意見之陳述或主張的程序。,M             
合議審判,是指審判法院由數名法官共同組成而進行判決。例如：甲法官擔任受命法官、乙法官擔任陪席法官、丙法官擔任審判長，案件由甲、乙、丙三位法官共同合議審判之制度。,M             
直接正犯,「正犯」是指實行構成要件行為之人，如行為人利用他人實行構成要件行為，稱為「間接正犯」，如果是親自實行構成要件行為，就稱為「直接正犯」。例如行為人自己持刀傷害被害人，該行為人就是傷害罪的直接正犯。,M             
協力義務,"為了促進行政程序或司法訴訟有效率地進行，用法律課予當事人一定的作為或不作為義務。
例如自行申報、提示必要的證明文件、到場或以書面為必要的陳述等。當事人如果違反協力義務，視個別法律的規定，可能產生行政裁罰、程序失權、證據評價的不利益或減輕行政機關的舉證責任等後果。",A             
裁定駁回,裁定多為針對程序上的問題進行處理，裁定駁回則為法院或法官認為聲請的內容不適當或沒有理由時，駁回其請求的決定。,M             
礙難採認,不可採,G             
漏未判決,經檢察官或自訴人起訴的犯罪，如果是各自獨立的數個犯罪，而法院在判決的時候只有判到其中一部分，有一部分不小心沒有判到，稱為漏未判決。法院應該要對漏判部分補行判決。,M             
債務人,依法律之規定或契約之約定，對特定人負有給付金錢或物品，或做一定的行為或不可以做一定行為之義務的人。例如：甲、乙約定，甲於乙生日時要送一輛腳踏車給乙，乙生日時甲對乙負有送一輛腳踏車的義，甲就是債務人，乙則是債權人。,V             
請求權基礎,一方當事人得向他方當事人有所主張的實體法律規範，也就是可以向他人主張的實體法上權利。例如：甲所有的A地被乙侵占時，甲可以根據民法第767條第1項前段的所有物返還請求權，請求乙返還A地。則甲請求乙返還A地的請求權基礎，就是所有物返還請求權。,V             
重傷害,"為刑法之罪名，規定於刑法第278條。至於重傷害定義規定於同法第10條第4項「稱重傷者，謂下列傷害：
一、毀敗或嚴重減損一目或二目之視能。
二、毀敗或嚴重減損一耳或二耳之聽能。
三、毀敗或嚴重減損語能、味能或嗅能。
四、毀敗或嚴重減損一肢以上之機能。
五、毀敗或嚴重減損生殖之機能。
六、其他於身體或健康，有重大不治或難治之傷害。」",M             
禁戒處分,指行為人因酗酒而犯罪，如足認其已酗酒成癮並有再犯之虞，基於維護社會公共安全之立場，由法院判決於刑之執行前，令入相當處所，實施治療以戒治酒癮。依刑法第89條規定，禁戒處分期間為1 年以下，執行中認無繼續執行之必要，得免其處分之執行。,M             
婚生否認（民法第1063條第2、3項）,受婚生推定的子女，如果事實上並不是「妻」自「夫」受胎所生、與「夫」並無真實血緣關係，則夫妻的一方或子女，能證明非為婚生子女者，是可以提起婚生否認之訴來解決，但要特別注意起訴的期間是有限制的。,F             
實感德便,律師撰寫書狀的常用語。通常是律師請求對方或者法院做一件事情，比方說調取某個文件，最後加上「實感德便」，只是表達感謝幫忙的一種禮貌性用語。,F             
共同被告,在同一個刑事訴訟程序上的被告，為「共同被告」。,M             
代位繼承,"舉例來說，爸爸先往生，阿公隨後死亡，這個孫子可以取代他死掉的爸爸，繼承阿公的遺產，這就叫代位繼承。。上面的例子，如果爸爸是喪失繼承權的情況，孫子也可以代位繼承，
請注意，只有直系血親卑親屬的繼承人，才有代位繼承的權利。如果死者沒有子女，是由兄弟姐妹繼承遺產的話，己經死亡的兄弟姐妹就沒辦法由他們的小孩來代位繼承了。",F             
構成要件,依照法律規定，構成法律關係、法律行為、違反義務或犯罪等時所必須具備的條件。,G             
自由證明,相較於嚴格證明，自由證明是指證據不需要具有證據能力，而且也不需要經過法定調查證據的方式進行調查，即可以之證明事實者。例如刑法第57條所規定的量刑情狀、法官迴避的原因事實等，均以自由證明為已足。,M             
不當聯結,"行政行為課以人民義務或負擔，或造成人民其他的不利益時，所採取的手段和所追求的目的兩者間必須有合理的實質聯結關係，如果欠缺聯結關係，該行政行為即因有不當聯結（或稱不當連結）而不合法。
例如：行政機關要求人民繳清罰鍰後才能換發行車執照，但行車執照的換發，目的在掌握汽車狀況，以確保汽車行駛品質，維護用路人安全，而罰鍰不繳納則是行政罰的執行問題，並非換發行車執照所欲追求的行政目的，兩者間欠缺實質上的關聯，所以該作為不合法。",A             
不起訴處分,檢察官偵查後，認為沒有證據可以證明被告犯罪或犯罪嫌疑不足，而放棄對被告提起公訴的一種處分。,M             
法無明文,法律沒有明文規定,G             
固非無見,就是「固然也有一點道理」、「雖然也有一點道理」的意思。雙重否定的句式，通常用在「你這樣說雖然有點道理，但其實….」這種否定的論述。,F             
舉重明輕,一種解釋法律的方法，指法律上的規定如果規範情節比較重的事實，那麼在解釋上，性質相雷同且情節較輕微的事實，當然也包括在規範的效力範圍內。,G             
相對不起訴處分,"解釋一：係指檢察官對於輕微犯罪的情形，認為不加以起訴較為適當時，可依刑事訴訟法第253條規定，作出不起訴處分，這是檢察官的裁量範圍，不受司法干涉。例如甲竊取乙的鉛筆1支，經乙向檢察署提起告訴，因鉛筆價值甚微，為避免訴訟資源浪費，檢察官為不起訴處分。
解釋二：
1.刑事訴訟法第253條規定
檢察官偵查後，認定被告犯了不得上訴到第三審法院的輕罪，例如：竊盜、侵占等。但是考量到被告犯罪動機、手段、生活狀況及犯罪後態度等各種量刑因素後，檢察官認為在這次犯罪，不要起訴被告是比較適當的話，可以選擇不要起訴被告，而對他作出不起訴處分。
例如，被告沒有任何前科，因為沒有錢，肚子又餓，在超商偷了一個二十元的麵包，後來向超商道歉，雙方達成和解。超商願意原諒被告時，檢察官認為不要起訴被告，讓被告有自新的機會，會比起訴被告讓法院判刑還要適當的話，就會作出不起訴處分。
2.刑事訴訟法第254條規定
被告犯了數個犯罪行為，其中有一個犯罪行為已經被法院判處重刑確定。檢察官認為其他犯罪雖然起訴，但是對於他應該要執行的刑度也影響不大時，可以選擇不要起訴這個輕罪。
例如，被告犯了殺人罪，已經被判決無期徒刑確定，他雖然也犯了賭博罪，但是因為賭博罪最多罰錢，對於執行的無期徒刑影響不大，檢察官可以選擇不要起訴賭博罪。",M             
